,mcmc_0,mcmc_1,mcmc_2,mcmc_3,mcmc_4,mcmc_5,mcmc_6,mcmc_7,mcmc_8,mcmc_9
0,0.0,0.0,0.0,2.0,-2.0,-4.0,-2.0,0.0,-4.0,2.0
1,0.0,-0.5,-1.0,0.5,-2.0,-4.0,-2.0,-0.5,-4.0,0.5
2,0.0,-0.6666666666666666,-1.3333333333333333,0.3333333333333333,-0.6666666666666666,-2.0,-2.0,-0.6666666666666666,-4.0,0.3333333333333333
3,-0.5,-0.75,-1.5,0.25,-0.5,-2.0,-2.0,-0.75,-4.0,0.25
4,-0.8,-0.8,-1.6,0.0,-0.4,-2.0,-2.0,-0.6666666666666666,-4.0,-0.13333333333333333
5,-1.0,-0.6666666666666666,-1.6666666666666665,-0.1111111111111111,-0.3333333333333333,-1.5555555555555554,-2.0,-0.7777777777777777,-4.0,-0.3333333333333333
6,-1.1428571428571428,-0.42857142857142855,-1.7142857142857142,-0.19047619047619047,-0.2857142857142857,-1.7142857142857142,-2.0,-0.7142857142857143,-4.0,-0.4761904761904761
7,-1.25,-0.4,-0.9166666666666666,-0.25,-0.3333333333333333,-1.8333333333333333,-2.0,-0.65,-4.0,-0.5833333333333334
8,-1.3333333333333333,-0.4444444444444445,-0.6666666666666666,-0.29629629629629634,-0.3703703703703704,-1.9259259259259258,-2.0,-0.711111111111111,-4.0,-0.6666666666666666
9,-1.4000000000000001,-0.4800000000000001,-0.65,-0.3333333333333334,-0.4000000000000001,-2.0,-2.0,-0.76,-2.0,-0.7333333333333334
10,-1.4545454545454546,-0.509090909090909,-0.509090909090909,-0.22727272727272724,-0.4242424242424243,-1.4545454545454546,-1.090909090909091,-0.6363636363636364,-2.0,-0.787878787878788
11,-1.0,-0.5333333333333333,-0.5,-0.2,-0.4444444444444444,-1.4166666666666667,-1.1666666666666665,-0.6388888888888888,-1.2777777777777777,-0.8333333333333334
12,-0.7307692307692307,-0.5538461538461539,-0.49230769230769234,-0.17948717948717952,-0.4615384615384616,-1.3846153846153848,-0.9230769230769232,-0.6410256410256411,-1.2307692307692308,-0.8717948717948718
13,-0.7142857142857142,-0.5714285714285714,-0.42857142857142855,-0.19047619047619047,-0.3214285714285714,-1.057142857142857,-1.0476190476190474,-0.6428571428571429,-1.1904761904761902,-0.9047619047619047
14,-0.7,-0.5866666666666667,-0.4444444444444444,-0.19047619047619047,-0.29333333333333333,-1.0133333333333332,-1.1555555555555557,-0.6444444444444445,-1.1555555555555554,-0.9333333333333332
15,-0.525,-0.6,-0.4583333333333333,-0.21428571428571427,-0.325,-0.8125,-1.25,-0.6458333333333334,-0.8125,-0.71875
16,-0.411764705882353,-0.6117647058823529,-0.4705882352941176,-0.23529411764705882,-0.3529411764705882,-0.7843137254901961,-1.3333333333333333,-0.5546218487394957,-0.7647058823529412,-0.7352941176470589
17,-0.3650793650793651,-0.6222222222222221,-0.4814814814814814,-0.25396825396825395,-0.37777777777777777,-0.7592592592592592,-1.0,-0.45833333333333326,-0.7222222222222223,-0.7499999999999999
18,-0.37593984962406013,-0.631578947368421,-0.49122807017543857,-0.2706766917293233,-0.4,-0.7368421052631579,-0.9999999999999999,-0.4342105263157894,-0.6842105263157895,-0.7631578947368421
19,-0.38571428571428573,-0.5333333333333334,-0.5,-0.2857142857142857,-0.35000000000000003,-0.7166666666666668,-1.0,-0.4125000000000001,-0.65,-0.775
20,-0.3945578231292517,-0.5396825396825397,-0.5079365079365079,-0.2993197278911564,-0.36507936507936506,-0.6984126984126983,-0.8,-0.3928571428571429,-0.5142857142857142,-0.7857142857142856
21,-0.4025974025974026,-0.5454545454545454,-0.5151515151515151,-0.3116883116883117,-0.3116883116883117,-0.6818181818181818,-0.8,-0.375,-0.509090909090909,-0.7954545454545454
22,-0.40993788819875776,-0.5507246376811594,-0.5217391304347826,-0.32298136645962733,-0.2608695652173913,-0.6666666666666666,-0.8,-0.3586956521739131,-0.40579710144927533,-0.8043478260869565
23,-0.41666666666666663,-0.5555555555555555,-0.4642857142857143,-0.3333333333333333,-0.23148148148148145,-0.6527777777777778,-0.7999999999999999,-0.34375,-0.38888888888888884,-0.8125
24,-0.4228571428571429,-0.5599999999999999,-0.48,-0.34285714285714286,-0.23111111111111116,-0.6400000000000001,-0.8,-0.30222222222222217,-0.37333333333333335,-0.8200000000000001
25,-0.42857142857142855,-0.4835164835164835,-0.4945054945054945,-0.3516483516483517,-0.23076923076923078,-0.6282051282051283,-0.8000000000000002,-0.29914529914529914,-0.358974358974359,-0.8269230769230771
26,-0.43386243386243384,-0.41666666666666663,-0.5079365079365079,-0.3597883597883597,-0.23045267489711932,-0.6172839506172839,-0.8,-0.2962962962962963,-0.345679012345679,-0.8333333333333333
27,-0.4387755102040816,-0.41071428571428564,-0.520408163265306,-0.36734693877551017,-0.22857142857142856,-0.607142857142857,-0.7999999999999999,-0.27142857142857146,-0.33333333333333326,-0.6571428571428573
28,-0.3793103448275862,-0.4051724137931034,-0.4482758620689655,-0.37438423645320196,-0.24827586206896549,-0.5977011494252874,-0.8,-0.27586206896551724,-0.3218390804597701,-0.6482758620689655
29,-0.375,-0.3481481481481482,-0.39999999999999997,-0.38095238095238093,-0.2303030303030303,-0.5888888888888889,-0.8,-0.28,-0.2857142857142857,-0.64
30,-0.3709677419354839,-0.3096774193548387,-0.40143369175627236,-0.3870967741935484,-0.23460410557184747,-0.5806451612903226,-0.7999999999999999,-0.28387096774193543,-0.29493087557603687,-0.632258064516129
31,-0.3671875,-0.30625,-0.4027777777777778,-0.39285714285714285,-0.23863636363636365,-0.5729166666666666,-0.8,-0.2875,-0.30357142857142855,-0.625
32,-0.36363636363636365,-0.30303030303030304,-0.40404040404040403,-0.39826839826839827,-0.2424242424242424,-0.5656565656565656,-0.8,-0.2909090909090909,-0.3116883116883117,-0.6181818181818183
33,-0.3602941176470588,-0.2780748663101604,-0.40522875816993464,-0.3455882352941176,-0.24598930481283424,-0.5588235294117647,-0.8,-0.2941176470588235,-0.319327731092437,-0.6117647058823529
34,-0.3571428571428571,-0.2476190476190476,-0.4063492063492064,-0.3428571428571428,-0.24935064935064935,-0.5523809523809523,-0.7999999999999999,-0.2971428571428571,-0.32653061224489793,-0.6057142857142856
35,-0.35416666666666663,-0.24074074074074073,-0.40740740740740744,-0.34027777777777773,-0.25252525252525254,-0.5462962962962963,-0.8,-0.3,-0.33333333333333337,-0.6
36,-0.35135135135135137,-0.2342342342342342,-0.4084084084084084,-0.3378378378378379,-0.2653562653562654,-0.5405405405405407,-0.8,-0.3027027027027027,-0.3397683397683398,-0.5945945945945945
37,-0.34868421052631576,-0.2280701754385965,-0.40935672514619875,-0.3355263157894737,-0.27751196172248804,-0.4511278195488722,-0.7999999999999999,-0.3052631578947368,-0.3458646616541353,-0.5894736842105263
38,-0.34615384615384615,-0.21301775147928997,-0.41025641025641024,-0.2962962962962963,-0.2890442890442891,-0.4395604395604395,-0.7999999999999999,-0.3076923076923077,-0.3516483516483517,-0.5846153846153845
39,-0.34375,-0.21538461538461545,-0.41111111111111115,-0.2944444444444445,-0.30000000000000004,-0.42857142857142855,-0.8,-0.28181818181818186,-0.35714285714285715,-0.58
40,-0.34146341463414637,-0.21763602251407135,-0.3658536585365854,-0.29268292682926833,-0.3104212860310422,-0.4181184668989547,-0.8,-0.28381374722838143,-0.36236933797909415,-0.575609756097561
41,-0.33928571428571425,-0.20408163265306123,-0.3619047619047619,-0.29100529100529093,-0.3203463203463203,-0.4081632653061224,-0.8,-0.2857142857142857,-0.36734693877551017,-0.5714285714285714
42,-0.3372093023255814,-0.19933554817275748,-0.3581395348837209,-0.28940568475452194,-0.3298097251585624,-0.39867109634551495,-0.8,-0.2875264270613108,-0.372093023255814,-0.5674418604651164
43,-0.3352272727272727,-0.19480519480519476,-0.3545454545454545,-0.28787878787878785,-0.33884297520661155,-0.38961038961038963,-0.8,-0.2892561983471074,-0.3766233766233767,-0.4848484848484848
44,-0.33333333333333337,-0.1904761904761905,-0.3511111111111111,-0.2864197530864198,-0.3037037037037037,-0.380952380952381,-0.8,-0.2909090909090909,-0.32222222222222224,-0.4962962962962963
45,-0.33152173913043476,-0.18633540372670804,-0.34782608695652173,-0.28502415458937197,-0.2971014492753623,-0.37267080745341613,-0.8,-0.29249011857707513,-0.3152173913043478,-0.5072463768115942
46,-0.32978723404255317,-0.182370820668693,-0.3446808510638298,-0.2836879432624113,-0.2907801418439716,-0.364741641337386,-0.8,-0.2940038684719536,-0.30851063829787234,-0.5177304964539007
47,-0.328125,-0.17857142857142858,-0.3416666666666667,-0.2824074074074074,-0.28472222222222215,-0.35714285714285715,-0.8,-0.2708333333333333,-0.3020833333333333,-0.5277777777777778
48,-0.32653061224489793,-0.1749271137026239,-0.3387755102040816,-0.2811791383219955,-0.27891156462585026,-0.3498542274052478,-0.7999999999999999,-0.272108843537415,-0.2766439909297052,-0.5374149659863945
49,-0.325,-0.16800000000000004,-0.33599999999999997,-0.28,-0.2733333333333334,-0.3428571428571429,-0.8,-0.2733333333333334,-0.2844444444444445,-0.5466666666666667
50,-0.32352941176470584,-0.17254901960784313,-0.3333333333333333,-0.27886710239651413,-0.2679738562091503,-0.33613445378151263,-0.8,-0.2745098039215686,-0.25882352941176473,-0.5555555555555555
51,-0.32211538461538464,-0.17692307692307693,-0.3307692307692308,-0.2777777777777778,-0.26282051282051283,-0.3296703296703297,-0.6538461538461539,-0.2756410256410256,-0.26153846153846155,-0.5641025641025641
52,-0.3207547169811321,-0.1811320754716981,-0.3283018867924528,-0.27672955974842767,-0.2578616352201258,-0.32345013477088946,-0.6415094339622641,-0.2554426705370102,-0.2641509433962264,-0.5723270440251572
53,-0.3194444444444444,-0.18518518518518517,-0.3259259259259259,-0.2518518518518519,-0.2530864197530864,-0.3174603174603175,-0.5449735449735449,-0.2564102564102564,-0.26666666666666666,-0.5802469135802468
54,-0.3181818181818182,-0.18909090909090912,-0.3236363636363636,-0.23140495867768598,-0.24848484848484845,-0.2863636363636364,-0.4727272727272728,-0.2573426573426574,-0.2479338842975207,-0.5878787878787878
55,-0.3169642857142857,-0.19285714285714287,-0.32142857142857134,-0.21130952380952384,-0.228021978021978,-0.25396825396825395,-0.46875,-0.25824175824175827,-0.2532467532467532,-0.5952380952380952
56,-0.3157894736842105,-0.19649122807017547,-0.3192982456140351,-0.21052631578947367,-0.22672064777327938,-0.253411306042885,-0.41325536062378165,-0.2591093117408907,-0.2583732057416268,-0.6023391812865496
57,-0.3146551724137931,-0.2,-0.31724137931034485,-0.20977011494252876,-0.2254641909814324,-0.25287356321839083,-0.4099616858237548,-0.259946949602122,-0.26332288401253917,-0.6091954022988506
58,-0.3135593220338983,-0.20338983050847456,-0.3152542372881356,-0.20903954802259883,-0.22425032594524122,-0.2523540489642184,-0.4067796610169492,-0.2607561929595828,-0.2681047765793529,-0.615819209039548
59,-0.3125,-0.2066666666666667,-0.3133333333333333,-0.19230769230769235,-0.22307692307692306,-0.2518518518518518,-0.3566666666666667,-0.26153846153846155,-0.2727272727272727,-0.6222222222222222
60,-0.3114754098360656,-0.2098360655737705,-0.3114754098360656,-0.19167717528373268,-0.22194199243379575,-0.2513661202185793,-0.32190760059612517,-0.26229508196721313,-0.27719821162444114,-0.6284153005464481
61,-0.31048387096774194,-0.2129032258064516,-0.3096774193548387,-0.1910669975186104,-0.2096774193548387,-0.25089605734767023,-0.31964809384164217,-0.2630272952853598,-0.281524926686217,-0.6344086021505376
62,-0.30952380952380953,-0.21587301587301586,-0.3079365079365079,-0.1904761904761905,-0.21315192743764172,-0.25044091710758376,-0.28571428571428575,-0.26373626373626374,-0.2857142857142857,-0.5532879818594104
63,-0.30859375,-0.21875,-0.30625,-0.18990384615384615,-0.21651785714285715,-0.25,-0.2644230769230769,-0.2644230769230769,-0.2897727272727273,-0.5625
64,-0.3076923076923077,-0.22153846153846152,-0.3046153846153846,-0.18934911242603553,-0.2197802197802198,-0.24957264957264957,-0.26508875739644977,-0.2650887573964497,-0.2937062937062937,-0.5714285714285714
65,-0.3068181818181818,-0.20833333333333334,-0.30303030303030304,-0.18881118881118877,-0.22294372294372294,-0.2491582491582492,-0.26573426573426573,-0.26573426573426573,-0.29752066115702475,-0.5800865800865801
66,-0.30597014925373134,-0.20895522388059698,-0.30149253731343284,-0.1748400852878465,-0.22601279317697223,-0.24875621890547267,-0.24520255863539445,-0.2663605051664753,-0.26865671641791045,-0.5884861407249468
67,-0.30514705882352944,-0.20955882352941174,-0.3,-0.17436974789915966,-0.22899159663865545,-0.24836601307189543,-0.2436974789915966,-0.26696832579185514,-0.2647058823529412,-0.5966386554621849
68,-0.30434782608695654,-0.21014492753623187,-0.2985507246376812,-0.17391304347826084,-0.23188405797101447,-0.24798711755233496,-0.24223602484472045,-0.26755852842809363,-0.2608695652173913,-0.6045548654244307
69,-0.30357142857142855,-0.2107142857142857,-0.29714285714285715,-0.17346938775510204,-0.2346938775510204,-0.24761904761904757,-0.24081632653061225,-0.2681318681318681,-0.2571428571428571,-0.6122448979591837
70,-0.26291079812206575,-0.21126760563380279,-0.29577464788732394,-0.17303822937625754,-0.21971830985915494,-0.24726134585289516,-0.23943661971830985,-0.26868905742145177,-0.2535211267605634,-0.6197183098591549
71,-0.2561728395061728,-0.21180555555555552,-0.29444444444444445,-0.17261904761904762,-0.22037037037037036,-0.2469135802469136,-0.2380952380952381,-0.2692307692307692,-0.25,-0.6269841269841271
72,-0.2273972602739726,-0.21232876712328766,-0.29315068493150687,-0.17221135029354204,-0.22100456621004566,-0.2465753424657534,-0.23679060665362028,-0.2697576396206533,-0.2465753424657534,-0.6340508806262231
73,-0.22432432432432434,-0.21283783783783783,-0.2918918918918919,-0.1718146718146718,-0.22162162162162163,-0.2462462462462463,-0.2355212355212355,-0.2702702702702703,-0.24324324324324328,-0.640926640926641
74,-0.22133333333333333,-0.21333333333333335,-0.2906666666666667,-0.17142857142857146,-0.22222222222222227,-0.24592592592592594,-0.2342857142857143,-0.2707692307692308,-0.24,-0.6476190476190476
75,-0.2184210526315789,-0.21381578947368424,-0.28947368421052627,-0.17105263157894735,-0.22280701754385965,-0.22105263157894733,-0.21578947368421053,-0.27125506072874495,-0.23684210526315788,-0.5625
76,-0.2155844155844156,-0.21428571428571427,-0.28831168831168835,-0.17068645640074212,-0.22164502164502167,-0.2207792207792208,-0.212987012987013,-0.27172827172827174,-0.23376623376623376,-0.5584415584415585
77,-0.2128205128205128,-0.21474358974358973,-0.28717948717948716,-0.17032967032967036,-0.2205128205128205,-0.22051282051282053,-0.19711538461538464,-0.27218934911242604,-0.23076923076923075,-0.5544871794871795
78,-0.19102416570771003,-0.2167721518987342,-0.28607594936708863,-0.16998191681735988,-0.21940928270042193,-0.22025316455696203,-0.19462025316455697,-0.2726387536514119,-0.2122687439143135,-0.5506329113924051
79,-0.18863636363636366,-0.21875,-0.28500000000000003,-0.16964285714285718,-0.2183333333333333,-0.22000000000000003,-0.1921875,-0.2730769230769231,-0.21153846153846154,-0.546875
80,-0.186307519640853,-0.2047930283224401,-0.28395061728395066,-0.1613168724279835,-0.21728395061728392,-0.21975308641975308,-0.1898148148148148,-0.25220458553791886,-0.2108262108262108,-0.5432098765432098
81,-0.18403547671840356,-0.20373027259684365,-0.2829268292682927,-0.16422764227642278,-0.21626016260162603,-0.21951219512195125,-0.1875,-0.25087108013937287,-0.1951219512195122,-0.5396341463414634
82,-0.18181818181818182,-0.20269312544294826,-0.2819277108433735,-0.1670682730923695,-0.21526104417670683,-0.21927710843373496,-0.1852409638554217,-0.22971887550200804,-0.19449225473321863,-0.47925033467202144
83,-0.17965367965367965,-0.20168067226890754,-0.28095238095238095,-0.16984126984126982,-0.21428571428571427,-0.21904761904761907,-0.18303571428571427,-0.21726190476190474,-0.18095238095238092,-0.47883597883597884
84,-0.17754010695187164,-0.20069204152249134,-0.27999999999999997,-0.17254901960784313,-0.21333333333333332,-0.19893048128342247,-0.18088235294117647,-0.21911764705882353,-0.18039215686274507,-0.4784313725490197
85,-0.17547568710359407,-0.1997264021887825,-0.2790697674418604,-0.1751937984496124,-0.21240310077519378,-0.19873150105708245,-0.17877906976744187,-0.22093023255813954,-0.1798449612403101,-0.47803617571059437
86,-0.17345872518286312,-0.19878296146044624,-0.27816091954022987,-0.17777777777777778,-0.2114942528735632,-0.1985370950888192,-0.17672413793103448,-0.20554428668018931,-0.1793103448275862,-0.4776500638569604
87,-0.17148760330578514,-0.1978609625668449,-0.2772727272727272,-0.1803030303030303,-0.2106060606060606,-0.18560606060606064,-0.17471590909090912,-0.2032085561497326,-0.1787878787878788,-0.47727272727272724
88,-0.16956077630234934,-0.19695968274950432,-0.27640449438202247,-0.1827715355805243,-0.2097378277153558,-0.1891385767790262,-0.17275280898876405,-0.200925313945803,-0.17827715355805243,-0.4769038701622972
89,-0.16767676767676767,-0.19607843137254904,-0.27555555555555555,-0.18518518518518523,-0.20888888888888893,-0.19259259259259262,-0.17083333333333334,-0.19869281045751633,-0.17777777777777778,-0.4765432098765432
90,-0.16583416583416583,-0.19521654815772466,-0.27472527472527475,-0.1875457875457876,-0.2080586080586081,-0.19597069597069597,-0.16895604395604397,-0.1965093729799612,-0.1772893772893773,-0.42417582417582417
91,-0.16403162055335968,-0.19437340153452684,-0.27391304347826084,-0.1898550724637681,-0.20724637681159422,-0.19927536231884058,-0.1671195652173913,-0.18719806763285024,-0.17681159420289855,-0.4195652173913043
92,-0.15232974910394267,-0.19354838709677422,-0.2731182795698925,-0.1921146953405018,-0.2064516129032258,-0.20250896057347675,-0.1653225806451613,-0.18876941457586616,-0.1763440860215054,-0.4150537634408602
93,-0.14075286415711946,-0.19274092615769714,-0.27234042553191484,-0.19432624113475175,-0.20567375886524822,-0.20567375886524822,-0.16356382978723405,-0.19030732860520094,-0.175886524822695,-0.41063829787234035
94,-0.1408906882591093,-0.1919504643962848,-0.27157894736842103,-0.19649122807017544,-0.20491228070175438,-0.2087719298245614,-0.16184210526315787,-0.191812865497076,-0.1754385964912281,-0.40631578947368424
95,-0.14102564102564102,-0.19117647058823528,-0.2708333333333333,-0.1986111111111111,-0.20416666666666666,-0.21180555555555555,-0.16015625,-0.18311403508771928,-0.175,-0.3674242424242424
96,-0.14115781126090404,-0.1904184354154033,-0.2701030927835052,-0.2006872852233677,-0.2034364261168385,-0.2147766323024055,-0.14918132201334142,-0.18448182311448727,-0.17457044673539515,-0.3655107778819119
97,-0.14128728414442698,-0.18967587034813926,-0.2693877551020408,-0.20272108843537415,-0.20272108843537412,-0.21768707482993196,-0.14765906362545017,-0.18582169709989257,-0.17414965986394557,-0.36363636363636354
98,-0.1414141414141414,-0.1889483065953654,-0.2686868686868687,-0.20471380471380474,-0.20202020202020202,-0.22053872053872056,-0.14616755793226385,-0.1871345029239766,-0.1737373737373737,-0.3617998163452709
99,-0.14153846153846156,-0.18823529411764706,-0.26799999999999996,-0.2066666666666667,-0.20133333333333336,-0.22333333333333336,-0.14470588235294118,-0.18842105263157896,-0.17333333333333334,-0.36000000000000004
